,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1544816,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-15,2.0,4.0,9.0,0.0,-3.0,0.0
1544817,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-16,3.0,5.0,5.0,4.0,-1.0,0.0
1544818,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-17,1.0,6.0,11.0,-3.0,-8.0,1.0
1544819,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-18,0.0,5.0,13.0,-3.0,-7.0,1.0
1544820,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-19,0.0,8.0,11.0,-3.0,-7.0,1.0
1544821,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-20,-1.0,5.0,11.0,-3.0,-7.0,1.0
1544822,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-21,-3.0,5.0,10.0,-6.0,-7.0,2.0
1544823,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-22,0.0,5.0,9.0,-1.0,-2.0,0.0
1544824,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-23,-1.0,4.0,-3.0,1.0,-2.0,1.0
1544825,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-24,-1.0,3.0,-4.0,-3.0,-2.0,2.0
1544826,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-25,-1.0,3.0,1.0,-1.0,-1.0,1.0
1544827,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-26,-3.0,3.0,-3.0,-1.0,0.0,2.0
1544828,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-27,-1.0,3.0,-4.0,0.0,1.0,2.0
1544829,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-28,6.0,9.0,-2.0,0.0,2.0,1.0
1544830,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-02-29,13.0,12.0,-8.0,5.0,0.0,0.0
1544831,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-01,11.0,15.0,-15.0,7.0,1.0,2.0
1544832,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-02,5.0,9.0,-15.0,2.0,11.0,0.0
1544833,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-03,4.0,10.0,-14.0,3.0,12.0,0.0
1544834,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-04,1.0,9.0,-16.0,5.0,14.0,0.0
1544835,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-05,-1.0,4.0,-15.0,5.0,15.0,0.0
1544836,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-06,1.0,5.0,-12.0,4.0,16.0,0.0
1544837,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-07,7.0,7.0,-20.0,2.0,3.0,3.0
1544838,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-08,5.0,7.0,-8.0,12.0,-1.0,5.0
1544839,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-09,-3.0,2.0,-13.0,5.0,16.0,0.0
1544840,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-10,-3.0,1.0,-17.0,7.0,17.0,-2.0
1544841,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-11,-8.0,0.0,-19.0,6.0,16.0,0.0
1544842,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-12,-7.0,-1.0,-21.0,5.0,17.0,-1.0
1544843,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-13,-3.0,5.0,-17.0,3.0,17.0,-1.0
1544844,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-14,1.0,9.0,-21.0,-1.0,4.0,3.0
1544845,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-15,-10.0,17.0,-29.0,-6.0,-1.0,6.0
1544846,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-16,-20.0,16.0,-34.0,-18.0,2.0,7.0
1544847,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-17,-31.0,1.0,-39.0,-27.0,-11.0,11.0
1544848,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-18,-38.0,2.0,-45.0,-32.0,-18.0,14.0
1544849,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-19,-51.0,-17.0,-50.0,-41.0,-27.0,19.0
1544850,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-20,-54.0,-21.0,-54.0,-47.0,-31.0,23.0
1544851,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-21,-63.0,-31.0,-66.0,-51.0,-32.0,22.0
1544852,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-22,-72.0,-45.0,-72.0,-58.0,-38.0,22.0
1544853,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-23,-62.0,-38.0,-61.0,-56.0,-41.0,24.0
1544854,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-24,-64.0,-38.0,-61.0,-57.0,-44.0,25.0
1544855,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-25,-64.0,-36.0,-61.0,-57.0,-44.0,26.0
1544856,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-26,-61.0,-32.0,-59.0,-54.0,-44.0,25.0
1544857,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-27,-67.0,-41.0,-64.0,-65.0,-50.0,31.0
1544858,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-28,-68.0,-41.0,-69.0,-61.0,-43.0,25.0
1544859,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-29,-73.0,-55.0,-72.0,-64.0,-42.0,24.0
1544860,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-30,-63.0,-39.0,-60.0,-63.0,-50.0,26.0
1544861,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-03-31,-61.0,-34.0,-57.0,-59.0,-50.0,25.0
1544862,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-01,-62.0,-32.0,-59.0,-59.0,-51.0,26.0
1544863,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-02,-64.0,-36.0,-60.0,-61.0,-51.0,27.0
1544864,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-03,-63.0,-36.0,-61.0,-61.0,-50.0,29.0
1544865,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-04,-65.0,-38.0,-67.0,-57.0,-42.0,23.0
1544866,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-05,-69.0,-49.0,-70.0,-59.0,-42.0,20.0
1544867,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-06,-61.0,-37.0,-60.0,-61.0,-49.0,24.0
1544868,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-07,-62.0,-35.0,-59.0,-59.0,-50.0,23.0
1544869,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-08,-63.0,-34.0,-61.0,-60.0,-50.0,24.0
1544870,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-09,-60.0,-29.0,-59.0,-58.0,-51.0,23.0
1544871,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-10,-82.0,-56.0,-75.0,-76.0,-78.0,38.0
1544872,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-11,-75.0,-51.0,-74.0,-67.0,-56.0,26.0
1544873,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-12,-76.0,-57.0,-76.0,-69.0,-44.0,21.0
1544874,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-13,-61.0,-40.0,-61.0,-60.0,-48.0,24.0
1544875,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-14,-62.0,-38.0,-60.0,-59.0,-48.0,23.0
1544876,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-15,-62.0,-36.0,-61.0,-59.0,-48.0,24.0
1544877,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-16,-63.0,-38.0,-61.0,-59.0,-48.0,25.0
1544878,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-17,-62.0,-36.0,-62.0,-60.0,-47.0,28.0
1544879,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-18,-64.0,-40.0,-67.0,-56.0,-37.0,21.0
1544880,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-19,-70.0,-49.0,-71.0,-61.0,-38.0,20.0
1544881,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-20,-61.0,-40.0,-59.0,-59.0,-45.0,22.0
1544882,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-21,-61.0,-39.0,-59.0,-58.0,-46.0,22.0
1544883,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-22,-61.0,-38.0,-60.0,-58.0,-45.0,22.0
1544884,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-23,-63.0,-40.0,-62.0,-59.0,-45.0,24.0
1544885,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-24,-63.0,-40.0,-63.0,-60.0,-45.0,26.0
1544886,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-25,-63.0,-39.0,-67.0,-55.0,-35.0,21.0
1544887,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-26,-68.0,-48.0,-71.0,-60.0,-36.0,19.0
1544888,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-27,-60.0,-41.0,-60.0,-59.0,-42.0,23.0
1544889,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-28,-60.0,-39.0,-58.0,-57.0,-43.0,16.0
1544890,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-29,-59.0,-36.0,-58.0,-55.0,-42.0,22.0
1544891,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-04-30,-52.0,-23.0,-53.0,-50.0,-42.0,19.0
1544892,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-01,-82.0,-78.0,-69.0,-73.0,-78.0,36.0
1544893,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-02,-56.0,-29.0,-64.0,-52.0,-37.0,20.0
1544894,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-03,-64.0,-39.0,-69.0,-57.0,-33.0,19.0
1544895,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-04,-53.0,-30.0,-56.0,-54.0,-40.0,20.0
1544896,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-05,-53.0,-28.0,-54.0,-52.0,-40.0,20.0
1544897,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-06,-56.0,-30.0,-55.0,-55.0,-42.0,22.0
1544898,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-07,-56.0,-30.0,-55.0,-53.0,-42.0,22.0
1544899,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-08,-56.0,-30.0,-57.0,-54.0,-40.0,24.0
1544900,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-09,-58.0,-31.0,-63.0,-58.0,-34.0,22.0
1544901,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-10,-66.0,-41.0,-69.0,-60.0,-28.0,18.0
1544902,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-11,-61.0,-42.0,-60.0,-63.0,-44.0,24.0
1544903,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-12,-60.0,-39.0,-60.0,-61.0,-44.0,24.0
1544904,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-13,-60.0,-35.0,-60.0,-61.0,-44.0,25.0
1544905,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-14,-60.0,-35.0,-60.0,-60.0,-45.0,23.0
1544906,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-15,-59.0,-33.0,-60.0,-59.0,-44.0,27.0
1544907,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-16,-68.0,-45.0,-69.0,-65.0,-38.0,25.0
1544908,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-17,-73.0,-52.0,-73.0,-69.0,-37.0,23.0
1544909,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-18,-65.0,-45.0,-64.0,-68.0,-48.0,27.0
1544910,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-19,-65.0,-42.0,-64.0,-66.0,-49.0,26.0
1544911,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-20,-63.0,-37.0,-63.0,-65.0,-49.0,26.0
1544912,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-21,-78.0,-53.0,-72.0,-77.0,-74.0,36.0
1544913,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-22,-64.0,-40.0,-64.0,-66.0,-51.0,31.0
1544914,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-23,-66.0,-42.0,-69.0,-63.0,-37.0,25.0
1544915,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-24,-71.0,-50.0,-72.0,-66.0,-35.0,23.0
1544916,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-25,-61.0,-40.0,-61.0,-64.0,-47.0,27.0
1544917,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-26,-63.0,-41.0,-61.0,-64.0,-47.0,26.0
1544918,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-27,-64.0,-41.0,-63.0,-65.0,-47.0,27.0
1544919,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-28,-64.0,-41.0,-63.0,-65.0,-47.0,28.0
1544920,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-29,-63.0,-37.0,-63.0,-64.0,-46.0,31.0
1544921,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-30,-62.0,-36.0,-67.0,-59.0,-32.0,23.0
1544922,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-05-31,-67.0,-44.0,-71.0,-62.0,-30.0,21.0
1544923,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-01,-60.0,-37.0,-61.0,-63.0,-45.0,25.0
1544924,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-02,-61.0,-37.0,-63.0,-63.0,-47.0,26.0
1544925,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-03,-63.0,-38.0,-63.0,-64.0,-47.0,27.0
1544926,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-04,-62.0,-38.0,-62.0,-63.0,-47.0,28.0
1544927,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-05,-61.0,-36.0,-62.0,-63.0,-45.0,30.0
1544928,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-06,-63.0,-38.0,-69.0,-60.0,-33.0,24.0
1544929,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-07,-68.0,-46.0,-72.0,-63.0,-31.0,22.0
1544930,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-08,-61.0,-41.0,-63.0,-65.0,-46.0,26.0
1544931,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-09,-62.0,-40.0,-62.0,-64.0,-46.0,26.0
1544932,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-10,-62.0,-39.0,-62.0,-64.0,-46.0,27.0
1544933,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-11,-64.0,-41.0,-65.0,-64.0,-47.0,28.0
1544934,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-12,-64.0,-41.0,-65.0,-66.0,-47.0,31.0
1544935,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-13,-64.0,-41.0,-69.0,-62.0,-33.0,25.0
1544936,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-14,-69.0,-48.0,-72.0,-65.0,-30.0,22.0
1544937,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-15,-63.0,-43.0,-65.0,-65.0,-47.0,27.0
1544938,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-16,-62.0,-40.0,-64.0,-63.0,-47.0,27.0
1544939,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-17,-66.0,-43.0,-68.0,-67.0,-49.0,29.0
1544940,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-18,-65.0,-42.0,-67.0,-65.0,-48.0,28.0
1544941,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-19,-63.0,-37.0,-65.0,-65.0,-47.0,30.0
1544942,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-20,-65.0,-38.0,-71.0,-62.0,-34.0,25.0
1544943,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-21,-71.0,-48.0,-74.0,-65.0,-26.0,22.0
1544944,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-22,-67.0,-49.0,-68.0,-68.0,-50.0,28.0
1544945,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-23,-66.0,-46.0,-67.0,-66.0,-50.0,28.0
1544946,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-24,-67.0,-46.0,-67.0,-67.0,-50.0,28.0
1544947,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-25,-65.0,-44.0,-65.0,-65.0,-49.0,29.0
1544948,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-26,-65.0,-42.0,-66.0,-66.0,-48.0,31.0
1544949,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-27,-65.0,-41.0,-70.0,-62.0,-34.0,25.0
1544950,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-28,-72.0,-50.0,-76.0,-67.0,-33.0,23.0
1544951,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-29,-81.0,-61.0,-79.0,-81.0,-77.0,37.0
1544952,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-06-30,-61.0,-39.0,-63.0,-62.0,-48.0,26.0
1544953,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-01,-63.0,-39.0,-65.0,-65.0,-49.0,28.0
1544954,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-02,-63.0,-38.0,-63.0,-62.0,-48.0,28.0
1544955,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-03,-62.0,-37.0,-64.0,-63.0,-47.0,30.0
1544956,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-04,-68.0,-45.0,-75.0,-69.0,-38.0,27.0
1544957,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-05,-67.0,-43.0,-71.0,-61.0,-30.0,22.0
1544958,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-06,-60.0,-38.0,-61.0,-62.0,-47.0,26.0
1544959,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-07,-61.0,-39.0,-63.0,-62.0,-48.0,26.0
1544960,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-08,-63.0,-41.0,-64.0,-64.0,-48.0,27.0
1544961,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-09,-64.0,-43.0,-65.0,-63.0,-48.0,28.0
1544962,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-10,-63.0,-40.0,-63.0,-63.0,-46.0,30.0
1544963,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-11,-64.0,-40.0,-70.0,-61.0,-32.0,24.0
1544964,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-12,-69.0,-48.0,-72.0,-65.0,-30.0,22.0
1544965,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-13,-61.0,-42.0,-61.0,-63.0,-47.0,26.0
1544966,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-14,-60.0,-41.0,-60.0,-61.0,-47.0,26.0
1544967,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-15,-60.0,-35.0,-61.0,-60.0,-46.0,25.0
1544968,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-16,-75.0,-49.0,-72.0,-73.0,-71.0,35.0
1544969,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-17,-63.0,-39.0,-65.0,-64.0,-49.0,31.0
1544970,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-18,-65.0,-41.0,-71.0,-62.0,-34.0,25.0
1544971,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-19,-70.0,-49.0,-73.0,-65.0,-30.0,22.0
1544972,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-20,-60.0,-40.0,-62.0,-62.0,-46.0,26.0
1544973,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-21,-64.0,-45.0,-67.0,-66.0,-49.0,27.0
1544974,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-22,-61.0,-39.0,-61.0,-61.0,-45.0,26.0
1544975,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-23,-62.0,-41.0,-61.0,-62.0,-46.0,27.0
1544976,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-24,-61.0,-39.0,-61.0,-62.0,-44.0,29.0
1544977,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-25,-63.0,-38.0,-68.0,-59.0,-30.0,23.0
1544978,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-26,-68.0,-47.0,-71.0,-63.0,-28.0,21.0
1544979,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-27,-60.0,-40.0,-60.0,-61.0,-45.0,25.0
1544980,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-28,-58.0,-37.0,-56.0,-59.0,-45.0,24.0
1544981,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-29,-57.0,-32.0,-56.0,-58.0,-44.0,24.0
1544982,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-30,-60.0,-38.0,-60.0,-60.0,-46.0,26.0
1544983,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-07-31,-58.0,-32.0,-58.0,-58.0,-44.0,28.0
1544984,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-08-01,-60.0,-31.0,-66.0,-55.0,-30.0,22.0
1544985,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-08-02,-63.0,-38.0,-65.0,-56.0,-25.0,20.0
1544986,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-08-03,-56.0,-33.0,-57.0,-58.0,-44.0,24.0
1544987,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-08-04,-56.0,-32.0,-56.0,-57.0,-44.0,24.0
1544988,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-08-05,-58.0,-33.0,-58.0,-58.0,-44.0,24.0
1544989,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-08-06,-58.0,-35.0,-56.0,-58.0,-44.0,25.0
1544990,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-08-07,-56.0,-31.0,-55.0,-56.0,-42.0,26.0
1544991,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-08-08,-57.0,-29.0,-61.0,-51.0,-27.0,21.0
1544992,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-08-09,-63.0,-38.0,-67.0,-56.0,-24.0,19.0
1544993,CL,Chile,,,,,,ChIJL68lBEHFYpYRHbkCERPhBQU,2020-08-10,-52.0,-31.0,-54.0,-56.0,-43.0,22.0
